id,uid,name,shortname,longtitude,latitude,nhfrid,subcounty_uid,subcounty,district_uid,district,region,level,ownership,authority,status,facility_id,subcounty_id,district_id,region_id,licensed,address,contact_personemail,contact_personmobile,contact_personname,contact_persontitle,date_opened,bed_capacity,services,user_district_id,owner_id,createdAt,updatedAt
295,aKoVWgIufTx,Acholpii Health Centre III,Acholpii HC III,33.050426,2.731935,8008025204429,y2tqwpJlSZd,Arum Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC III,GOV,Local Government,Functional,34526,1945,18,3,,,,,,,,,[],,1,2025-09-07 15:14:27.861 +0300,2025-09-07 15:14:27.861 +0300
4467,DjuTQL7H5ck,Amyel Health Centre II,Amyel HC II,33.470325,2.940914,8008029935576,qUDCFxUq4uw,Lapono Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34659,1373,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.203 +0300,2025-09-07 15:14:43.203 +0300
91,cPeDqm6vYHn,Obolokome Health Centre II,Obolokome (Lira) HC II,33.19373,2.820513,8008028585636,kYiQXgFKSkQ,Agengo Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34771,774,18,3,,,,,,,,,[],,1,2025-09-07 15:14:26.921 +0300,2025-09-07 15:14:26.921 +0300
90,wLkwoyLOOZe,Acuru Health Centre II,Acuru HC II,33.192795,2.925697,8008022564548,kYiQXgFKSkQ,Agengo Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34868,774,18,3,,,,,,,,,[],,1,2025-09-07 15:14:26.917 +0300,2025-09-07 15:14:26.917 +0300
4591,FHLViw9IqR6,Lapirin Health Centre III,Lapirin HC III,33.27664,2.860853,8008025213703,d7O2HPDA9UV,Lokole Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC III,GOV,Local Government,Functional,34747,235,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.645 +0300,2025-09-07 15:14:43.645 +0300
4592,zfMY9GBN26I,Olung Health Centre II,Olung HC II,33.366325,2.922139,8008028436428,d7O2HPDA9UV,Lokole Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34603,235,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.649 +0300,2025-09-07 15:14:43.649 +0300
87,RHk4V3ZlFbx,Lukole Health Centre III,Lukole HC III,33.338963,2.835436,8008027243189,lhKxF8mfub4,Agago Town Council,ztIyIYAzFKp,Agago District,Acholi,HC III,GOV,Local Government,Functional,34820,1256,18,3,,,,,,,,,[],,1,2025-09-07 15:14:26.904 +0300,2025-09-07 15:14:26.904 +0300
4468,pBrduMkhHQy,Lira Kaket Health Centre II,Lira Kaket HC II,33.462597,2.982532,8008022690446,qUDCFxUq4uw,Lapono Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34745,1373,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.208 +0300,2025-09-07 15:14:43.208 +0300
4469,ifSPcuzT8Iw,Ogwang Kamolo Health Centre II,Ogwang Kamolo HC II,33.44162,2.939501,8008022418266,qUDCFxUq4uw,Lapono Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34525,1373,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.212 +0300,2025-09-07 15:14:43.212 +0300
4470,ajeoW3M1Tvm,Ongalo Health Centre II,Ongalo HC II,33.434994,2.987945,8008029984275,qUDCFxUq4uw,Lapono Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34717,1373,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.216 +0300,2025-09-07 15:14:43.216 +0300
52,G51dLKvQTxh,David Fagerlee's Medical Centre,David Fagerlee's  Medical Centre,33.477844,2.743743,8008024416503,nXAQOdNQCIo,Adilang Town Council,ztIyIYAzFKp,Agago District,Acholi,HC II,PNFP,UCMB,Functional,34661,1600,18,3,,,,,,,,,[],,1,2025-09-07 15:14:26.693 +0300,2025-09-07 15:14:26.693 +0300
51,FvewOonC8lS,Adilang Health Centre III,Adilang HC III,33.475304,2.741335,8008023776549,nXAQOdNQCIo,Adilang Town Council,ztIyIYAzFKp,Agago District,Acholi,HC III,GOV,Local Government,Functional,34533,1600,18,3,,,,,,,,,[],,1,2025-09-07 15:14:26.688 +0300,2025-09-07 15:14:26.688 +0300
50,pUeR6j03GhJ,Alop Health Centre II,Alop HC II,33.4502,2.668848,8008022870916,FihNC5KfGJV,Adilang Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34758,1106,18,3,,,,,,,,,[],,1,2025-09-07 15:14:26.684 +0300,2025-09-07 15:14:26.684 +0300
7826,AbQGl8CrhXH,Patongo Prisons Health Centre II,Patongo Prison HC II,,,8008023801373,SE5V8TUKQnZ,Patongo Town Council,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,UPS,Functional,34781,1815,18,3,,,,,,,,,[],,1,2025-09-07 15:14:55.602 +0300,2025-09-07 15:14:55.602 +0300
4542,a9ZI6jNBqXx,Lira Kato Health Centre III,Lira Kato HC III,33.487995,2.868972,8008025832861,WwUCbB1nYLS,Lira Kato Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC III,GOV,Local Government,Functional,34631,800,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.471 +0300,2025-09-07 15:14:43.471 +0300
7613,gvwYnobdOdM,Layita Health Centre III,Layita HC II,33.41595,3.271141,8008024559215,Lv7IX3Xxutv,Omiyapacwa Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC III,GOV,Local Government,Functional,34769,465,18,3,,,,,,,,,[],,1,2025-09-07 15:14:55.032 +0300,2025-09-07 15:14:55.032 +0300
4572,o919aB1NWyq,Lanyirinyiri Health Centre II,Lanyirinyiri HC II,33.184895,2.749782,8008022215047,pH004BIak3K,Lirapalwo Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34687,366,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.579 +0300,2025-09-07 15:14:43.579 +0300
7614,p1eA0ghuSyR,Omiya Pacwa Health Centre II,Omiya Pacwa HC II,33.44343,3.193472,8008024210115,Lv7IX3Xxutv,Omiyapacwa Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34875,465,18,3,,,,,,,,,[],,1,2025-09-07 15:14:55.036 +0300,2025-09-07 15:14:55.036 +0300
7825,oUcwyNtRzrb,Patongo Health Centre IV,Patongo HC IV,33.311817,2.760376,8008029345930,SE5V8TUKQnZ,Patongo Town Council,ztIyIYAzFKp,Agago District,Acholi,HC IV,GOV,Local Government,Functional,34865,1815,18,3,,,,,,,,,[],,1,2025-09-07 15:14:55.599 +0300,2025-09-07 15:14:55.599 +0300
8441,qOIHRAbHyeu,Wol Health Centre III,Wol HC III,33.22395,3.12226,8008029202080,EPOFng6yFNp,Wol Town Council,ztIyIYAzFKp,Agago District,Acholi,HC III,GOV,Local Government,Functional,34693,1744,18,3,,,,,,,,,[],,1,2025-09-07 15:14:57.259 +0300,2025-09-07 15:14:57.259 +0300
7824,JICsD1QzzeJ,Opyelo Health Centre III,Opyelo HC III,,,8008026200532,tlIMKbS5bmI,Patongo Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC III,GOV,Local Government,Functional,34797,1358,18,3,,,,,,,,,[],,1,2025-09-07 15:14:55.597 +0300,2025-09-07 15:14:55.597 +0300
8440,fN5JzGLE8gv,Okwadoko Health Centre II,Okwadoko HC II,33.16955,3.156584,8008023821048,EJCiKQCS6WT,Wol Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34609,1403,18,3,,,,,,,,,[],,1,2025-09-07 15:14:57.255 +0300,2025-09-07 15:14:57.255 +0300
7621,GzIVh9blxSN,Omot Health Centre III,Omot HC II,33.209908,2.692556,8008026605613,XAYIceYQGIl,Omot Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC III,GOV,Local Government,Functional,34740,1609,18,3,,,,,,,,,[],,1,2025-09-07 15:14:55.065 +0300,2025-09-07 15:14:55.065 +0300
1967,WgXtPbUAyJD,Geregere Health Centre II,Geregere HC II,33.234657,2.769527,8008028233292,ollO9yOclEb,Geregere Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34806,425,18,3,,,,,,,,,[],,1,2025-09-07 15:14:33.771 +0300,2025-09-07 15:14:33.771 +0300
7818,err2diilQ8C,Pakor Health Centre II,Pakor HC II,33.37483,3.088585,8008026324363,gqlcWIrj9J3,Parabongo Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34844,1221,18,3,,,,,,,,,[],,1,2025-09-07 15:14:55.582 +0300,2025-09-07 15:14:55.582 +0300
7817,w9mcV8YwoKa,Pacer Health Centre III,Pacer HC II,33.33101,2.983858,8008029310568,gqlcWIrj9J3,Parabongo Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC III,GOV,Local Government,Functional,34644,1221,18,3,,,,,,,,,[],,1,2025-09-07 15:14:55.580 +0300,2025-09-07 15:14:55.580 +0300
7816,mErpRZrtmz8,Kabala Health Centre II,Kabala HC II,33.369987,2.984033,8008027690355,gqlcWIrj9J3,Parabongo Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34739,1221,18,3,,,,,,,,,[],,1,2025-09-07 15:14:55.577 +0300,2025-09-07 15:14:55.577 +0300
4455,fIGI5AZsJHF,Kwonkic Health Centre II,Kwonkic HC II,33.11115,2.811759,8008024534999,QpcgX2e3WIK,Lamiyo Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34706,374,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.155 +0300,2025-09-07 15:14:43.155 +0300
4456,gEJIdy608EI,Lamiyo Health Centre III,Lamiyo HC III,33.055157,2.807232,8008025656206,QpcgX2e3WIK,Lamiyo Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC III,GOV,Local Government,Functional,34649,374,18,3,,,,,,,,,[],,1,2025-09-07 15:14:43.159 +0300,2025-09-07 15:14:43.159 +0300
4162,xErihzThO6h,Kotomor Health Centre III,Kotomor HC III,33.348373,2.643039,8008025743915,nmK9yk0kjmP,Kotomor Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC III,GOV,Local Government,Functional,34761,729,18,3,,,,,,,,,[],,1,2025-09-07 15:14:41.646 +0300,2025-09-07 15:14:41.646 +0300
4163,s21e0ARLfsE,Odokomit Health Centre II,Odokomit HC II,33.273415,2.639486,8008024310942,nmK9yk0kjmP,Kotomor Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34843,729,18,3,,,,,,,,,[],,1,2025-09-07 15:14:41.650 +0300,2025-09-07 15:14:41.650 +0300
4164,eVHfL3dqKR5,Onudapet Health Centre II,Onudapet HC II,33.40546,2.640292,8008023344673,nmK9yk0kjmP,Kotomor Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34684,729,18,3,,,,,,,,,[],,1,2025-09-07 15:14:41.654 +0300,2025-09-07 15:14:41.654 +0300
4180,TTIgbcijnJz,Kuywee Health Centre II,Kuywee HC II,33.302483,3.057506,8008024222121,OCsQzKO3T3S,Kuywee Subcounty,ztIyIYAzFKp,Agago District,Acholi,HC II,GOV,Local Government,Functional,34550,437,18,3,,,,,,,,,[],,1,2025-09-07 15:14:41.754 +0300,2025-09-07 15:14:41.754 +0300
310,r6JsqcaIqQh,Sacred Heart Health Centre II,Sacred Heart HC II (Atiak Subcounty),32.119427,3.2837,8008025038359,ftLtvhHg24p,Atiak Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,PNFP,Private Authority,Functional,34722,1702,19,3,,,,,,,,,[],,1,2025-09-07 15:14:27.917 +0300,2025-09-07 15:14:27.917 +0300
7838,a4QeS81YJ8z,Olinga Health Centre II,Olinga HC II,32.032158,3.059338,8008028159300,E7GUvPlMBr9,Pogo Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34816,642,19,3,,,,,,,,,[],,1,2025-09-07 15:14:55.633 +0300,2025-09-07 15:14:55.633 +0300
4458,jWmjHpZqNtY,Kaladima Health Centre III,Kaladima HC III,32.139214,2.82238,8008029563830,COaxzbRhsBA,Lamogi Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC III,GOV,Local Government,Functional,34719,1036,19,3,,,,,,,,,[],,1,2025-09-07 15:14:43.167 +0300,2025-09-07 15:14:43.167 +0300
4459,u7JAnlZqo5D,Kaladima Prisons Clinic,Kaladima Prison Clinic,,,8008024938216,COaxzbRhsBA,Lamogi Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,UPS,Functional,34539,1036,19,3,,,,,,,,,[],,1,2025-09-07 15:14:43.171 +0300,2025-09-07 15:14:43.171 +0300
311,i5CDWEBfo9n,Atiak Health Centre IV,Atiak HC IV,32.120377,3.255633,8008027882815,lkPGXsMpP8M,Atiak Town Council,C0RSe3EWBqU,Amuru District,Acholi,HC IV,GOV,Local Government,Functional,34721,1299,19,3,,,,,,,,,[],,1,2025-09-07 15:14:27.921 +0300,2025-09-07 15:14:27.921 +0300
309,awjedeMiWo3,Pacilo Health Centre II,Pacilo HC II,32.10615,3.321137,8008023273873,ftLtvhHg24p,Atiak Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34760,1702,19,3,,,,,,,,,[],,1,2025-09-07 15:14:27.914 +0300,2025-09-07 15:14:27.914 +0300
308,kJ8CMUMloVu,Okidi Health Centre II,Okidi HC II,32.22376,3.266826,8008023242676,ftLtvhHg24p,Atiak Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34767,1702,19,3,,,,,,,,,[],,1,2025-09-07 15:14:27.910 +0300,2025-09-07 15:14:27.910 +0300
307,VdSMFKnHeyT,Mother Health International Health Centre II,Mother Health International,32.119427,3.2837,8008027893744,ftLtvhHg24p,Atiak Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,PNFP,Private Authority,Functional,34623,1702,19,3,,,,,,,,,[],,1,2025-09-07 15:14:27.907 +0300,2025-09-07 15:14:27.907 +0300
306,KSVxJfpwdlo,Ayiko International Hospital,Ayiko International Hospital,,,,ftLtvhHg24p,Atiak Subcounty,C0RSe3EWBqU,Amuru District,Acholi,General Hospital,PNFP,NGO,Functional,34756,1702,19,3,,,,,,,,,[],,1,2025-09-07 15:14:27.903 +0300,2025-09-07 15:14:27.903 +0300
1905,N00TPmBoIls,Bibia Health Centre III,Bibia HC III,32.06728,3.472603,8008023479188,nU9ascOQzge,Elegu Town Council,C0RSe3EWBqU,Amuru District,Acholi,HC III,GOV,Local Government,Functional,34778,1018,19,3,,,,,,,,,[],,1,2025-09-07 15:14:33.584 +0300,2025-09-07 15:14:33.584 +0300
198,OJYXXSC87rV,Oberabic Health Centre II,Oberabic HC II,31.966639,2.914859,8008026082807,acwO6ZCWJj7,Amuru Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,PNFP,UPMB,Functional,34715,1670,19,3,,,,,,,,,[],,1,2025-09-07 15:14:27.491 +0300,2025-09-07 15:14:27.491 +0300
1906,OgYKIobOLya,Elegu Port Health Centre II,Elegu Port HC II,,,,nU9ascOQzge,Elegu Town Council,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34608,1018,19,3,,,,,,,,,[],,1,2025-09-07 15:14:33.587 +0300,2025-09-07 15:14:33.587 +0300
4457,XdXAfIaLuld,Awer Health Centre II,Awer HC II,32.175022,2.839922,8008029679928,COaxzbRhsBA,Lamogi Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34666,1036,19,3,,,,,,,,,[],,1,2025-09-07 15:14:43.164 +0300,2025-09-07 15:14:43.164 +0300
7639,mNeUlm3SpRz,Pawel Health Centre III,Pawel HC III,32.157623,3.09435,8008025539188,pPJG84907G8,Opara Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC III,GOV,Local Government,Functional,34787,646,19,3,,,,,,,,,[],,1,2025-09-07 15:14:55.132 +0300,2025-09-07 15:14:55.132 +0300
7638,TjOqyM8ZMii,Palukere Health Centre II,Palukere HC II,32.1594,3.16532,8008026415350,pPJG84907G8,Opara Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34872,646,19,3,,,,,,,,,[],,1,2025-09-07 15:14:55.129 +0300,2025-09-07 15:14:55.129 +0300
199,LPjcTTbfcGL,Okungedi Health Centre II,Okungedi HC II,31.9394,2.877835,8008027941188,acwO6ZCWJj7,Amuru Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34799,1670,19,3,,,,,,,,,[],,1,2025-09-07 15:14:27.495 +0300,2025-09-07 15:14:27.495 +0300
200,UJ0t5BYVpBM,Amuru Health Centre II,Amuru HC II,31.923052,2.819629,8008024973380,YG7bSJaIniu,Amuru Town Council,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34699,1621,19,3,,,,,,,,,[],,1,2025-09-07 15:14:27.499 +0300,2025-09-07 15:14:27.499 +0300
201,rnSuCabTqe3,Otwee Health Centre III,Otwee HC III,31.859404,2.805735,8008027554508,YG7bSJaIniu,Amuru Town Council,C0RSe3EWBqU,Amuru District,Acholi,HC III,GOV,Local Government,Functional,34733,1621,19,3,,,,,,,,,[],,1,2025-09-07 15:14:27.503 +0300,2025-09-07 15:14:27.503 +0300
196,aqCLIBUuDgw,Amuru Prisons Health Centre II,Amuru Prison HC II,,,8008028304408,acwO6ZCWJj7,Amuru Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,UPS,Functional,34524,1670,19,3,,,,,,,,,[],,1,2025-09-07 15:14:27.482 +0300,2025-09-07 15:14:27.482 +0300
4505,M5YKLYHpU1v,Mutema Health Centre II,Mutema HC II,31.872986,2.881456,8008027785348,gvrKZ1wFDGc,Layima Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34552,746,19,3,,,,,,,,,[],,1,2025-09-07 15:14:43.342 +0300,2025-09-07 15:14:43.342 +0300
4506,llrIsQDjqka,Omee I Health Centre II,Omee I HC II,31.77099,2.852568,8008022413957,gvrKZ1wFDGc,Layima Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34521,746,19,3,,,,,,,,,[],,1,2025-09-07 15:14:43.345 +0300,2025-09-07 15:14:43.345 +0300
197,Tvayfd3cIU2,Labongogali Health Centre III,Labongogali HC III,32.018288,2.81497,8008025053811,acwO6ZCWJj7,Amuru Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC III,GOV,Local Government,Functional,34569,1670,19,3,,,,,,,,,[],,1,2025-09-07 15:14:27.486 +0300,2025-09-07 15:14:27.486 +0300
7690,VomjjgKAFjr,Apaa Health Centre II,Apaa HC II,31.715275,2.97363,8008027634544,EgcvIoAN7Ti,Pabo Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34790,1376,19,3,,,,,,,,,[],,1,2025-09-07 15:14:55.272 +0300,2025-09-07 15:14:55.272 +0300
2028,l25J2D2A6R3,Guruguru Health Centre II,Guruguru HC II,32.07889,2.910468,8008025450993,tunpJ39KaWx,Guru-Guru Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34821,1245,19,3,,,,,,,,,[],,1,2025-09-07 15:14:33.952 +0300,2025-09-07 15:14:33.952 +0300
2029,vnIPfEUR8ce,Olwal Health Centre III,Olwal HC III,32.07898,2.837736,8008026520014,tunpJ39KaWx,Guru-Guru Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC III,GOV,Local Government,Functional,34582,1245,19,3,,,,,,,,,[],,1,2025-09-07 15:14:33.956 +0300,2025-09-07 15:14:33.956 +0300
2030,Y1aTreUsUZn,Otici Health Centre II,Otici HC II,32.012936,2.953022,8008027226721,tunpJ39KaWx,Guru-Guru Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34667,1245,19,3,,,,,,,,,[],,1,2025-09-07 15:14:33.959 +0300,2025-09-07 15:14:33.959 +0300
2031,mYGNn9Bx0OH,Parabongo Health Centre II,Parabongo HC II,32.152687,2.906365,8008021768484,tunpJ39KaWx,Guru-Guru Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34601,1245,19,3,,,,,,,,,[],,1,2025-09-07 15:14:33.962 +0300,2025-09-07 15:14:33.962 +0300
7691,UDIcZADBS92,Bira Health Centre II,Bira HC II,32.108273,3.064758,8008026350909,EgcvIoAN7Ti,Pabo Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34764,1376,19,3,,,,,,,,,[],,1,2025-09-07 15:14:55.274 +0300,2025-09-07 15:14:55.274 +0300
7692,am0vQYNJohR,Jengari Health Centre II,Jengari HC II,32.138016,2.946616,8008024948254,EgcvIoAN7Ti,Pabo Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34680,1376,19,3,,,,,,,,,[],,1,2025-09-07 15:14:55.276 +0300,2025-09-07 15:14:55.276 +0300
7693,C8i6PL7Rmim,Odokonyero Health Centre II,Odokonyero HC II,32.106045,2.97245,8008024191595,EgcvIoAN7Ti,Pabo Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34826,1376,19,3,,,,,,,,,[],,1,2025-09-07 15:14:55.278 +0300,2025-09-07 15:14:55.278 +0300
7694,a2a7qNyJg9j,Otong Health Centre II,Otong HC II,32.195858,3.017417,8008026886256,EgcvIoAN7Ti,Pabo Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34529,1376,19,3,,,,,,,,,[],,1,2025-09-07 15:14:55.280 +0300,2025-09-07 15:14:55.280 +0300
7695,FNTxj1oKTQd,Lacor-Pabbo Health Centre III,Lacor-Pabbo HC III,32.144627,3.008099,8008021490842,zWPYifWT74s,Pabo Town Council,C0RSe3EWBqU,Amuru District,Acholi,HC III,PNFP,UCMB,Functional,34572,458,19,3,,,,,,,,,[],,1,2025-09-07 15:14:55.282 +0300,2025-09-07 15:14:55.282 +0300
7696,rYNfPnt4Wko,Pabbo Health Centre III,Pabbo (Govt) HC III,32.141495,2.999294,8008029232885,zWPYifWT74s,Pabo Town Council,C0RSe3EWBqU,Amuru District,Acholi,HC III,GOV,Local Government,Functional,34632,458,19,3,,,,,,,,,[],,1,2025-09-07 15:14:55.283 +0300,2025-09-07 15:14:55.283 +0300
7697,goyzaXgJl7C,Pabo Medical and Maternity Clinic,Pabo Medical and Maternity Clinic,32.137074,3.000579,8008028615179,zWPYifWT74s,Pabo Town Council,C0RSe3EWBqU,Amuru District,Acholi,Clinic,PFP,Private Authority,Functional,34772,458,19,3,,,,,,,,,[],,1,2025-09-07 15:14:55.285 +0300,2025-09-07 15:14:55.285 +0300
7839,a5pTJ9dZfZV,Pogo Health Centre III,Pogo HC III,32.04582,3.203807,8008026540244,E7GUvPlMBr9,Pogo Subcounty,C0RSe3EWBqU,Amuru District,Acholi,HC II,GOV,Local Government,Functional,34785,642,19,3,,,,,,,,,[],,1,2025-09-07 15:14:55.636 +0300,2025-09-07 15:14:55.636 +0300
