id,name,code,parent_id,level_id,createdAt,updatedAt
24,Nwoya District,,3,3,2025-08-30 15:12:50.562 +0300,2025-08-30 15:12:50.562 +0300
25,Omoro District,,3,3,2025-08-30 15:12:50.562 +0300,2025-08-30 15:12:50.562 +0300
26,Pader District,,3,3,2025-08-30 15:12:50.562 +0300,2025-08-30 15:12:50.562 +0300
27,Buhweju District,,4,3,2025-08-30 15:13:59.874 +0300,2025-08-30 15:13:59.874 +0300
28,Bushenyi District,,4,3,2025-08-30 15:13:59.874 +0300,2025-08-30 15:13:59.874 +0300
29,Ibanda District,,4,3,2025-08-30 15:13:59.874 +0300,2025-08-30 15:13:59.874 +0300
30,Isingiro District,,4,3,2025-08-30 15:13:59.874 +0300,2025-08-30 15:13:59.874 +0300
31,Kazo District,,4,3,2025-08-30 15:13:59.874 +0300,2025-08-30 15:13:59.874 +0300
32,Kiruhura District,,4,3,2025-08-30 15:13:59.874 +0300,2025-08-30 15:13:59.874 +0300
33,Mbarara City,,4,3,2025-08-30 15:13:59.874 +0300,2025-08-30 15:13:59.874 +0300
34,Mbarara District,,4,3,2025-08-30 15:13:59.874 +0300,2025-08-30 15:13:59.874 +0300
35,Mitooma District,,4,3,2025-08-30 15:13:59.874 +0300,2025-08-30 15:13:59.874 +0300
36,Ntungamo District,,4,3,2025-08-30 15:13:59.874 +0300,2025-08-30 15:13:59.874 +0300
37,Rubirizi District,,4,3,2025-08-30 15:13:59.874 +0300,2025-08-30 15:13:59.874 +0300
38,Rwampara District,,4,3,2025-08-30 15:13:59.874 +0300,2025-08-30 15:13:59.874 +0300
39,Sheema District,,4,3,2025-08-30 15:13:59.874 +0300,2025-08-30 15:13:59.874 +0300
40,Bududa District,,5,3,2025-08-30 15:15:13.821 +0300,2025-08-30 15:15:13.821 +0300
41,Bukwo District,,5,3,2025-08-30 15:15:13.821 +0300,2025-08-30 15:15:13.821 +0300
42,Bulambuli District,,5,3,2025-08-30 15:15:13.821 +0300,2025-08-30 15:15:13.821 +0300
43,Kapchorwa District,,5,3,2025-08-30 15:15:13.821 +0300,2025-08-30 15:15:13.821 +0300
44,Kween District,,5,3,2025-08-30 15:15:13.821 +0300,2025-08-30 15:15:13.821 +0300
45,Manafwa District,,5,3,2025-08-30 15:15:13.821 +0300,2025-08-30 15:15:13.821 +0300
46,Mbale City,,5,3,2025-08-30 15:15:13.821 +0300,2025-08-30 15:15:13.821 +0300
47,Mbale District,,5,3,2025-08-30 15:15:13.821 +0300,2025-08-30 15:15:13.821 +0300
48,Namisindwa District,,5,3,2025-08-30 15:15:13.821 +0300,2025-08-30 15:15:13.821 +0300
49,Sironko District,,5,3,2025-08-30 15:15:13.821 +0300,2025-08-30 15:15:13.821 +0300
50,Budaka District,,6,3,2025-08-30 15:15:33.821 +0300,2025-08-30 15:15:33.821 +0300
51,Busia District,,6,3,2025-08-30 15:15:33.821 +0300,2025-08-30 15:15:33.821 +0300
52,Butaleja District,,6,3,2025-08-30 15:15:33.821 +0300,2025-08-30 15:15:33.821 +0300
53,Butebo District,,6,3,2025-08-30 15:15:33.821 +0300,2025-08-30 15:15:33.821 +0300
54,Kibuku District,,6,3,2025-08-30 15:15:33.821 +0300,2025-08-30 15:15:33.821 +0300
55,Pallisa District,,6,3,2025-08-30 15:15:33.821 +0300,2025-08-30 15:15:33.821 +0300
56,Tororo District,,6,3,2025-08-30 15:15:33.821 +0300,2025-08-30 15:15:33.821 +0300
57,Buliisa District,,7,3,2025-08-30 15:15:54.118 +0300,2025-08-30 15:15:54.118 +0300
58,Hoima City,,7,3,2025-08-30 15:15:54.118 +0300,2025-08-30 15:15:54.118 +0300
59,Hoima District,,7,3,2025-08-30 15:15:54.118 +0300,2025-08-30 15:15:54.118 +0300
60,Kagadi District,,7,3,2025-08-30 15:15:54.118 +0300,2025-08-30 15:15:54.118 +0300
61,Kakumiro District,,7,3,2025-08-30 15:15:54.118 +0300,2025-08-30 15:15:54.118 +0300
62,Kibaale District,,7,3,2025-08-30 15:15:54.118 +0300,2025-08-30 15:15:54.118 +0300
63,Kikuube District,,7,3,2025-08-30 15:15:54.118 +0300,2025-08-30 15:15:54.118 +0300
64,Kiryandongo District,,7,3,2025-08-30 15:15:54.118 +0300,2025-08-30 15:15:54.118 +0300
65,Masindi District,,7,3,2025-08-30 15:15:54.118 +0300,2025-08-30 15:15:54.118 +0300
66,Bugiri District,,8,3,2025-08-30 15:16:13.861 +0300,2025-08-30 15:16:13.861 +0300
67,Bugweri District,,8,3,2025-08-30 15:16:13.861 +0300,2025-08-30 15:16:13.861 +0300
68,Buyende District,,8,3,2025-08-30 15:16:13.861 +0300,2025-08-30 15:16:13.861 +0300
69,Iganga District,,8,3,2025-08-30 15:16:13.861 +0300,2025-08-30 15:16:13.861 +0300
70,Jinja City,,8,3,2025-08-30 15:16:13.861 +0300,2025-08-30 15:16:13.861 +0300
71,Jinja District,,8,3,2025-08-30 15:16:13.861 +0300,2025-08-30 15:16:13.861 +0300
72,Kaliro District,,8,3,2025-08-30 15:16:13.861 +0300,2025-08-30 15:16:13.861 +0300
73,Kamuli District,,8,3,2025-08-30 15:16:13.861 +0300,2025-08-30 15:16:13.861 +0300
74,Luuka District,,8,3,2025-08-30 15:16:13.861 +0300,2025-08-30 15:16:13.861 +0300
75,Mayuge District,,8,3,2025-08-30 15:16:13.861 +0300,2025-08-30 15:16:13.861 +0300
76,Namayingo District,,8,3,2025-08-30 15:16:13.861 +0300,2025-08-30 15:16:13.861 +0300
77,Namutumba District,,8,3,2025-08-30 15:16:13.861 +0300,2025-08-30 15:16:13.861 +0300
78,Kampala District,,9,3,2025-08-30 15:16:32.172 +0300,2025-08-30 15:16:32.172 +0300
79,Abim District,,10,3,2025-08-30 15:17:12.402 +0300,2025-08-30 15:17:12.402 +0300
80,Amudat District,,10,3,2025-08-30 15:17:12.402 +0300,2025-08-30 15:17:12.402 +0300
81,Kaabong District,,10,3,2025-08-30 15:17:12.402 +0300,2025-08-30 15:17:12.402 +0300
82,Karenga District,,10,3,2025-08-30 15:17:12.402 +0300,2025-08-30 15:17:12.402 +0300
83,Kotido District,,10,3,2025-08-30 15:17:12.402 +0300,2025-08-30 15:17:12.402 +0300
84,Moroto District,,10,3,2025-08-30 15:17:12.402 +0300,2025-08-30 15:17:12.402 +0300
85,Nabilatuk District,,10,3,2025-08-30 15:17:12.402 +0300,2025-08-30 15:17:12.402 +0300
86,Nakapiripirit District,,10,3,2025-08-30 15:17:12.402 +0300,2025-08-30 15:17:12.402 +0300
87,Napak District,,10,3,2025-08-30 15:17:12.402 +0300,2025-08-30 15:17:12.402 +0300
88,Kabale District,,11,3,2025-08-30 15:17:30.862 +0300,2025-08-30 15:17:30.862 +0300
89,Kanungu District,,11,3,2025-08-30 15:17:30.862 +0300,2025-08-30 15:17:30.862 +0300
90,Kisoro District,,11,3,2025-08-30 15:17:30.862 +0300,2025-08-30 15:17:30.862 +0300
91,Rubanda District,,11,3,2025-08-30 15:17:30.862 +0300,2025-08-30 15:17:30.862 +0300
92,Rukiga District,,11,3,2025-08-30 15:17:30.862 +0300,2025-08-30 15:17:30.862 +0300
93,Rukungiri District,,11,3,2025-08-30 15:17:30.862 +0300,2025-08-30 15:17:30.862 +0300
94,Alebtong District,,12,3,2025-08-30 15:17:48.837 +0300,2025-08-30 15:17:48.837 +0300
95,Amolatar District,,12,3,2025-08-30 15:17:48.837 +0300,2025-08-30 15:17:48.837 +0300
96,Apac District,,12,3,2025-08-30 15:17:48.837 +0300,2025-08-30 15:17:48.837 +0300
97,Dokolo District,,12,3,2025-08-30 15:17:48.837 +0300,2025-08-30 15:17:48.837 +0300
98,Kole District,,12,3,2025-08-30 15:17:48.837 +0300,2025-08-30 15:17:48.837 +0300
99,Kwania District,,12,3,2025-08-30 15:17:48.837 +0300,2025-08-30 15:17:48.837 +0300
100,Lira City,,12,3,2025-08-30 15:17:48.837 +0300,2025-08-30 15:17:48.837 +0300
101,Lira District,,12,3,2025-08-30 15:17:48.837 +0300,2025-08-30 15:17:48.837 +0300
102,Otuke District,,12,3,2025-08-30 15:17:48.837 +0300,2025-08-30 15:17:48.837 +0300
103,Oyam District,,12,3,2025-08-30 15:17:48.837 +0300,2025-08-30 15:17:48.837 +0300
104,Buikwe District,,13,3,2025-08-30 15:18:06.292 +0300,2025-08-30 15:18:06.292 +0300
105,Buvuma District,,13,3,2025-08-30 15:18:06.292 +0300,2025-08-30 15:18:06.292 +0300
106,Kassanda District,,13,3,2025-08-30 15:18:06.292 +0300,2025-08-30 15:18:06.292 +0300
107,Kayunga District,,13,3,2025-08-30 15:18:06.292 +0300,2025-08-30 15:18:06.292 +0300
108,Kiboga District,,13,3,2025-08-30 15:18:06.292 +0300,2025-08-30 15:18:06.292 +0300
109,Kyankwanzi District,,13,3,2025-08-30 15:18:06.292 +0300,2025-08-30 15:18:06.292 +0300
110,Luwero District,,13,3,2025-08-30 15:18:06.292 +0300,2025-08-30 15:18:06.292 +0300
111,Mityana District,,13,3,2025-08-30 15:18:06.292 +0300,2025-08-30 15:18:06.292 +0300
112,Mubende District,,13,3,2025-08-30 15:18:06.292 +0300,2025-08-30 15:18:06.292 +0300
113,Mukono District,,13,3,2025-08-30 15:18:06.292 +0300,2025-08-30 15:18:06.292 +0300
114,Nakaseke District,,13,3,2025-08-30 15:18:06.292 +0300,2025-08-30 15:18:06.292 +0300
115,Nakasongola District,,13,3,2025-08-30 15:18:06.292 +0300,2025-08-30 15:18:06.292 +0300
116,Bukomansimbi District,,14,3,2025-08-30 15:18:23.532 +0300,2025-08-30 15:18:23.532 +0300
117,Butambala District,,14,3,2025-08-30 15:18:23.532 +0300,2025-08-30 15:18:23.532 +0300
118,Gomba District,,14,3,2025-08-30 15:18:23.532 +0300,2025-08-30 15:18:23.532 +0300
119,Kalangala District,,14,3,2025-08-30 15:18:23.532 +0300,2025-08-30 15:18:23.532 +0300
120,Kalungu District,,14,3,2025-08-30 15:18:23.532 +0300,2025-08-30 15:18:23.532 +0300
121,Kyotera District,,14,3,2025-08-30 15:18:23.532 +0300,2025-08-30 15:18:23.532 +0300
122,Lwengo District,,14,3,2025-08-30 15:18:23.532 +0300,2025-08-30 15:18:23.532 +0300
123,Lyantonde District,,14,3,2025-08-30 15:18:23.532 +0300,2025-08-30 15:18:23.532 +0300
124,Masaka City,,14,3,2025-08-30 15:18:23.532 +0300,2025-08-30 15:18:23.532 +0300
125,Masaka District,,14,3,2025-08-30 15:18:23.532 +0300,2025-08-30 15:18:23.532 +0300
126,Mpigi District,,14,3,2025-08-30 15:18:23.532 +0300,2025-08-30 15:18:23.532 +0300
127,Rakai District,,14,3,2025-08-30 15:18:23.532 +0300,2025-08-30 15:18:23.532 +0300
128,Sembabule District,,14,3,2025-08-30 15:18:23.532 +0300,2025-08-30 15:18:23.532 +0300
129,Wakiso District,,14,3,2025-08-30 15:18:23.532 +0300,2025-08-30 15:18:23.532 +0300
130,Amuria District,,15,3,2025-08-30 15:18:42.995 +0300,2025-08-30 15:18:42.995 +0300
131,Bukedea District,,15,3,2025-08-30 15:18:42.995 +0300,2025-08-30 15:18:42.995 +0300
132,Kaberamaido District,,15,3,2025-08-30 15:18:42.995 +0300,2025-08-30 15:18:42.995 +0300
133,Kalaki District,,15,3,2025-08-30 15:18:42.995 +0300,2025-08-30 15:18:42.995 +0300
134,Kapelebyong District,,15,3,2025-08-30 15:18:42.995 +0300,2025-08-30 15:18:42.995 +0300
135,Katakwi District,,15,3,2025-08-30 15:18:42.995 +0300,2025-08-30 15:18:42.995 +0300
136,Kumi District,,15,3,2025-08-30 15:18:42.995 +0300,2025-08-30 15:18:42.995 +0300
137,Ngora District,,15,3,2025-08-30 15:18:42.995 +0300,2025-08-30 15:18:42.995 +0300
138,Serere District,,15,3,2025-08-30 15:18:42.995 +0300,2025-08-30 15:18:42.995 +0300
139,Soroti City,,15,3,2025-08-30 15:18:42.995 +0300,2025-08-30 15:18:42.995 +0300
140,Soroti District,,15,3,2025-08-30 15:18:42.995 +0300,2025-08-30 15:18:42.995 +0300
141,Bundibugyo District,,16,3,2025-08-30 15:19:02.069 +0300,2025-08-30 15:19:02.069 +0300
142,Bunyangabu District,,16,3,2025-08-30 15:19:02.069 +0300,2025-08-30 15:19:02.069 +0300
143,Fort Portal City,,16,3,2025-08-30 15:19:02.069 +0300,2025-08-30 15:19:02.069 +0300
144,Kabarole District,,16,3,2025-08-30 15:19:02.069 +0300,2025-08-30 15:19:02.069 +0300
145,Kamwenge District,,16,3,2025-08-30 15:19:02.069 +0300,2025-08-30 15:19:02.069 +0300
146,Kasese District,,16,3,2025-08-30 15:19:02.069 +0300,2025-08-30 15:19:02.069 +0300
147,Kitagwenda District,,16,3,2025-08-30 15:19:02.069 +0300,2025-08-30 15:19:02.069 +0300
148,Kyegegwa District,,16,3,2025-08-30 15:19:02.069 +0300,2025-08-30 15:19:02.069 +0300
149,Kyenjojo District,,16,3,2025-08-30 15:19:02.069 +0300,2025-08-30 15:19:02.069 +0300
150,Ntoroko District,,16,3,2025-08-30 15:19:02.069 +0300,2025-08-30 15:19:02.069 +0300
151,Adjumani District,,17,3,2025-08-30 15:19:20.781 +0300,2025-08-30 15:19:20.781 +0300
152,Arua City,,17,3,2025-08-30 15:19:20.781 +0300,2025-08-30 15:19:20.781 +0300
153,Arua District,,17,3,2025-08-30 15:19:20.781 +0300,2025-08-30 15:19:20.781 +0300
154,Koboko District,,17,3,2025-08-30 15:19:20.781 +0300,2025-08-30 15:19:20.781 +0300
155,Madi-Okollo District,,17,3,2025-08-30 15:19:20.781 +0300,2025-08-30 15:19:20.781 +0300
156,Maracha District,,17,3,2025-08-30 15:19:20.781 +0300,2025-08-30 15:19:20.781 +0300
157,Moyo District,,17,3,2025-08-30 15:19:20.781 +0300,2025-08-30 15:19:20.781 +0300
158,Nebbi District,,17,3,2025-08-30 15:19:20.781 +0300,2025-08-30 15:19:20.781 +0300
159,Obongi District,,17,3,2025-08-30 15:19:20.781 +0300,2025-08-30 15:19:20.781 +0300
160,Pakwach District,,17,3,2025-08-30 15:19:20.781 +0300,2025-08-30 15:19:20.781 +0300
161,Terego District,,17,3,2025-08-30 15:19:20.781 +0300,2025-08-30 15:19:20.781 +0300
162,Yumbe District,,17,3,2025-08-30 15:19:20.781 +0300,2025-08-30 15:19:20.781 +0300
163,Zombo District,,17,3,2025-08-30 15:19:20.781 +0300,2025-08-30 15:19:20.781 +0300
164,Kwosir Subcounty,,44,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
165,Habuhutu Town Council,,91,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
166,Katakwi Subcounty,,135,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
167,Ochero Subcounty,,132,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
168,Mbulamuti Subcounty,,73,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
169,Parombo Town Council,,158,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
170,Kisozi Subcounty,,73,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
171,Lalle Subcounty,,140,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
172,Bitooma Town Council,,28,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
173,Paacwa Subcounty,,60,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
174,Buwooya Subcounty,,105,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
175,Buteraniro-Nyeihanga Town Council,,38,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
176,Nagojje Subcounty,,113,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
177,Kaserem Subcounty,,43,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
178,Lira West Division,,100,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
179,Khabutoola Subcounty,,45,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
180,Bukara Subcounty,,142,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
181,Rwetango Subcounty,,30,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
182,Butunduzi Town Council,,149,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
183,Nawaikoke Subcounty,,72,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
184,Bombo Town Council,,110,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
185,Kassanda Town Council,,106,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
186,Katete Subcounty,,89,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
187,Agoro Subcounty,,23,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
188,Malangala Subcounty,,111,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
189,Chepterech Subcounty,,43,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
190,Hoima West Division,,58,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
191,Molo Subcounty,,56,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
192,Kisubba Subcounty,,141,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
193,Kebisoni Subcounty,,93,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
194,Gogonyo Subcounty,,55,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
195,Najja Subcounty,,104,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
196,Palabek Gem Subcounty,,23,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
197,Kamdini Subcounty,,103,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
198,Alerek Town Council,,79,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
199,Nakalama Subcounty,,69,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
200,Usuk Town Council,,135,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
201,Lodonga Subcounty,,162,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
202,Nabilatuk Subcounty,,85,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
203,Kasilo Town Council,,138,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
204,Akoboi Subcounty,,135,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
205,Rukiri Subcounty,,29,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
206,Osia Subcounty,,56,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
207,Padibe Town Council,,23,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
208,Kitanda Subcounty,,116,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
209,Igorora Town Council,,29,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
210,Okungur Subcounty,,134,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
211,Kyebando Subcounty,,62,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
212,Kawowo Subcounty,,43,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
213,Rubongi Subcounty,,56,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
214,Kaliro Town Council,,123,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
215,Northern Division,,73,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
216,Busiu Subcounty,,47,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
217,Mitima Subcounty,,128,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
218,Bwamiramira Subcounty,,62,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
219,Bweramule Subcounty,,150,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
220,Kira Division,,129,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
221,Kayunga Town Council,,107,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
222,Akoromit Subcounty,,134,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
223,Aperkira Subcounty,,132,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
224,Okwerodot Subcounty,,98,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
225,Ndolwa Subcounty,,68,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
226,Kyaterekera Town Council,,60,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
227,Nkoma-Katalyeba Town Council,,145,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
228,Kayabwe Town Council,,126,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
229,Mayuge Town Council,,66,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
230,Bigodi Town Council,,145,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
231,Nazigo Subcounty,,107,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
232,Ngogwe Subcounty,,104,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
233,Nkaakwa Subcounty,,148,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
234,Nakasenyi Subcounty,,128,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
235,Lokole Subcounty,,18,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
236,Nabingoola Subcounty,,112,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
237,Amach Town Council,,101,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
238,Buyengo Subcounty,,71,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
239,Dabani Subcounty,,51,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
240,Kihihi Subcounty,,89,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
241,Warr Subcounty,,163,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
242,Kyabakara Subcounty,,37,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
243,Kakira Town Council,,71,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
244,Kyatiri Town Council,,65,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
245,Ddwaniro Subcounty,,127,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
246,Namataba Town Council,,113,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
247,Namungalwe Town Council,,69,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
248,Kasanje Subcounty,,129,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
249,Nankoma Subcounty,,66,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
250,Mende Subcounty,,129,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
251,Bweyogerere Division,,129,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
252,Bugulumbya Subcounty,,73,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
253,Rwentuha Subcounty,,148,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
254,Lokung Subcounty,,23,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
255,Kasangati Town Council,,129,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
256,Kibiga Subcounty,,108,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
257,Lokitelaebu Town Council,,83,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
258,Lyantonde Subcounty,,123,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
259,Kifamba Subcounty,,127,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
260,Northern Division,,154,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
261,Yumbe Town Council,,162,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
262,Kagumu Subcounty,,54,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
263,Ntwetwe Subcounty,,109,4,2025-08-30 15:43:06.895 +0300,2025-08-30 15:43:06.895 +0300
